510 > predicted='nucleus', actual='nucleus'
254 > predicted='mitochondria', actual='mitochondria'
135 > predicted='nucleus', actual='nucleus'
83 > predicted='golgi', actual='golgi'
786 > predicted='nucleus', actual='nucleus'
203 > predicted='golgi', actual='golgi'
342 > predicted='nucleus', actual='nucleus'
527 > predicted='cytoskeleton', actual='cytoskeleton'
229 > predicted='cytoplasm', actual='cytoplasm'
258 > predicted='cytoskeleton', actual='cytoskeleton'
292 > predicted='ER', actual='ER'
612 > predicted='mitochondria', actual='mitochondria'
759 > predicted='nucleus', actual='peroxisome'
670 > predicted='golgi', actual='golgi'
622 > predicted='ER', actual='ER'
280 > predicted='cytoplasm', actual='cytoplasm'
269 > predicted='nucleus', actual='nucleus'
761 > predicted='cytoskeleton', actual='cytoskeleton'
3 > predicted='cytoplasm', actual='cytoplasm'
617 > predicted='nucleus', actual='nucleus'
16 > predicted='nucleus', actual='nucleus'
129 > predicted='cytoplasm', actual='cytoplasm'
515 > predicted='nucleus', actual='nucleus'
499 > predicted='cytoskeleton', actual='cytoskeleton'
21 > predicted='nucleus', actual='nucleus'
355 > predicted='cytoskeleton', actual='cytoskeleton'
601 > predicted='transport vesicles', actual='transport vesicles'
698 > predicted='cytoplasm', actual='cytoplasm'
162 > predicted='nucleus', actual='nucleus'
861 > predicted='cytoplasm', actual='cytoplasm'
687 > predicted='cytoskeleton', actual='cytoskeleton'
244 > predicted='nucleus', actual='nucleus'
709 > predicted='golgi', actual='golgi'
473 > predicted='endosome', actual='endosome'
566 > predicted='vacuole', actual='vacuole'
88 > predicted='nucleus', actual='nucleus'
330 > predicted='golgi', actual='golgi'
116 > predicted='nucleus', actual='nucleus'
170 > predicted='plasma membrane', actual='plasma membrane'
80 > predicted='plasma membrane', actual='plasma membrane'
72 > predicted='golgi', actual='golgi'
68 > predicted='golgi', actual='golgi'
71 > predicted='nucleus', actual='nucleus'
207 > predicted='nucleus', actual='nucleus'
643 > predicted='nucleus', actual='nucleus'
124 > predicted='nucleus', actual='nucleus'
378 > predicted='nucleus', actual='nucleus'
400 > predicted='nucleus', actual='nucleus'
58 > predicted='nucleus', actual='nucleus'
303 > predicted='cytoplasm', actual='cytoplasm'
483 > predicted='vacuole', actual='vacuole'
183 > predicted='mitochondria', actual='mitochondria'
61 > predicted='mitochondria', actual='mitochondria'
458 > predicted='endosome', actual='endosome'
44 > predicted='plasma membrane', actual='plasma membrane'
173 > predicted='cytoplasm', actual='cytoplasm'
44 > predicted='plasma membrane', actual='plasma membrane'
430 > predicted='nucleus', actual='nucleus'
27 > predicted='cytoskeleton', actual='cytoskeleton'
616 > predicted='extracellular', actual='extracellular'
426 > predicted='cytoplasm', actual='cytoplasm'
353 > predicted='cytoplasm', actual='cytoplasm'
188 > predicted='mitochondria', actual='mitochondria'
